NCTId,type,name,description,arm_group_labels,other_names
NCT05159570,Dietary Supplement,Ketone ester,Commercially available ketone supplement,Ketone ester,
NCT05159570,Dietary Supplement,Placebo drink,Isocaloric placebo,Placebo,
NCT04506606,Procedure,Afferent block,Block sensory feedback to evaluate hemodynamic and fatigue consequence of group III/IV muscle afferents,"Afferent effect on fatigue, Afferent effect on hemodynamics, Effect of cardiac rehab",
NCT04944706,Drug,Qishen Yiqi dripping pills 2 bags/time + Qishen Yiqi dripping pills placebo 2 bags/time,"Take 3 times a day after meals,24 weeks",Low dose group,
NCT04944706,Drug,Qishen Yiqi dripping pills 4 bags/time,"Take 3 times a day after meals,24 weeks",High dose group,
NCT04944706,Drug,Qishen Yiqi dripping pills placebo 4 bags/time,"Take 3 times a day after meals,24 weeks",Placebo group,
NCT03448406,Drug,Empagliflozin,Film-coated tablet,Empagliflozin,"JARDIANCE, JARDIANZ, GIBTULIO"
NCT03448406,Drug,Placebo,Film-coated tablet,Placebo,
NCT04281849,Behavioral,BAMS-HF Program,"BAMS-HF Program (intervention) arm will consist of 3 in-home sessions (45-60 min ea) per week for 12 weeks with the study physical therapist. The study physical therapist will transition appropriate participants to virtual in-home visits (i.e. telerehabilitation) for some visits. The study physical therapist will design individualized exercise programs first targeting strength, then mobility and balance, and finally, aerobic capacity. Exercises will be progressive, with the goal of an 8 repetition maximum for each strength component, 80% completion rate for balance/mobility components and targeting a moderate rate of perceived exertion for aerobic components.

Interviews: There will be a recorded interview after the last session of the study to get participants' opinion of the program, suggestions for improvement and description of any barriers to participating in the program fully.",BAMS-HF Program,
NCT04019613,Diagnostic Test,Lung ultrasound,"Lung ultrasound will be performed at baseline (resting), prior to exercise with passive leg elevation, after 1.5 minutes of 20 Watts exercise, during each subsequent stage, at peak workload and at 1 minute recovery. Pulmonary thermodilution will be performed at rest, peak stress and at 1 minute recovery.",Subjects undergoing clinical invasive hemodynamic stress test,Pulmonary Thermodilution
NCT04112849,Diagnostic Test,Measurement of S3 heart sound,S3 heart sound to be measured by Nanowear Congestive Heart Failure Management System device.,Heart failure subjects,
NCT01932606,Drug,Nitrite,Study drug (NaNO_2 50 mcg/kg/min) will be infused for 5 minutes during the cardiac catheterization procedure.,Nitrite,
NCT01932606,Drug,Saline Placebo for Nitrite,Normal saline placebo will be infused for 5 minutes during the cardiac catheterization procedure. Hemodynamics will then be measured at baseline after study drug infusion and again during low level exercise (20 Watts).,Saline,
NCT04505449,Diagnostic Test,Left heart catheterization,Patients who underwent left heart catheterization,Left heart catheterization,
NCT06763549,Device,SUBPROTOCOL A,"A 30-minute COR ECG recording will be performed, including 15 minutes of continuous sitting data used for clinical indication analysis through CardioMIND software. Data collection can occur in-clinic, via PHS, or using a shipped device with telehealth support. Sleep, HRV, and AFIB risk analysis will not be included.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL B,"Subjects will undergo 24 hours of COR ECG recording, which must include at least one 15-minute unsupervised sitting session. Data analysis will include sleep patterns, HRV, and AFIB risk. ECG acquisition may take place in-clinic, via Patient Home Setup (PHS), or with a shipped device.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL C,"COR 1.0 ECG recordings will be conducted over 2 to 7 days, with at least one 15-minute unsupervised sitting session. At least 25% of randomly selected trial participants subjects will also wear a cleared wrist or finger device to track SpO2 during sleep. PI or Sub-Investigator will assign the number of wear days to the subject. The analysis will include sleep data, HRV, and AFIB risk assessment.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL D,"COR 2.0 (CORMDX) recordings will be conducted over 2 to 14 days, with at least one 15-minute unsupervised sitting session. At least 25% of randomly selected trial participants will also wear a cleared wrist or finger device to track SpO2 during sleep nights. PI or Sub-Investigator will assign the number of wear days to the subject. The analysis will include sleep data, HRV, and AFIB risk assessment.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL E,"Subjects will complete a 30-minute CORMDx (COR 2.0) ECG recording, with 15 minutes of continuous sitting data used for clinical indication analysis. Sleep, HRV, and AFIB risk analysis will not be performed.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL F,"A 30-minute COR 2.0 ECG recording will be completed, along with a 12-lead resting ECG using an FDA-cleared reference device. Sleep, HRV, and AFIB analysis will not be performed.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL G,"A 40-minute COR 2.0 recording will be conducted in two phases: 15 minutes of upright sitting and 15 minutes in a supine position. Hemodynamic monitoring, including blood pressure, cardiac output, and stroke volume variation, will be conducted using an FDA-cleared reference device. No sleep, HRV, or AFIB analysis will be performed.",Cohort Breakdown to Power Accuracy Assessments,
NCT06763549,Device,SUBPROTOCOL H,"Subjects will undergo a 40-minute COR 2.0 recording, followed by a 40-minute COR 1.0 recording. Hemodynamic monitoring using an FDA-cleared reference device will be performed during both sessions. The transition between devices must occur within 60 minutes if the same adhesive is reused. Sleep, HRV, and AFIB analysis will not be performed.",Cohort Breakdown to Power Accuracy Assessments,
NCT06486649,Diagnostic Test,Multimodal Large Language Model Diagnosis,Diagnosis for heart failure with preserved ejection fraction (HFpEF) using the multimodal large language model MedGuide-72B.,single group,
NCT06486649,Diagnostic Test,Routine diagnostic and therapeutic procedure,Routine diagnostic and therapeutic procedure,single group,
NCT04916470,Drug,Semaglutide,"Participants will receive semaglutide subcutaneous (s.c.; under the skin) injection(s) once-weekly for 52 weeks. Dose will be gradually increased to 2.4 mg: 0.25 mg from week 1 to 4, 0.5 mg from week 5 to 8, 1.0 mg from week 9 to 12, 1.7 mg from week 13 to 16 and 2.4 mg from week 17 to week 52.",Semaglutide 2.4 mg once weekly (OW),
NCT04916470,Drug,Placebo (Semaglutide),Participants will receive semaglutide matching placebo s.c. injection(s) once-weekly for 52 weeks.,Semaglutide placebo OW,
NCT05138575,Drug,Empagliflozin + Potassium Chloride,"Empagliflozin is the active intervention that may improve mitochondrial function and energy fuel metabolism in skeletal muscle.

KCl is an active control.",Empagliflozin + Potassium Chloride (KCl),Jardiance + KCl
NCT05138575,Drug,Empagliflozin + Potassium Nitrate,"Empagliflozin + KNO3 is the active intervention that may improve mitochondrial function and energy fuel metabolism in skeletal muscle, as well as increase skeletal muscle perfusion during exercise.",Empagliflozin + Potassium Nitrate (KNO3),Jardiance + KNO3
NCT05138575,Drug,Potassium Chloride + Placebo for Empagliflozin,Active control.,Potassium Chloride (KCl) + Placebo for Empa,KCl + Placebo
NCT06510270,Drug,Dapagliflozin 10 mg once daily,Dapagliflozin 10 mg once daily will be given to all patients in symptomstic heart failure group,Symptomatic heart failure,
NCT06510270,Drug,Loop diuretics,Loop diuretics (IV or orally) will be given to all patients in symptomatic heart failure group,Symptomatic heart failure,
NCT06510270,Drug,"Treatments of associated co-morbidities (e.g Anti-hypertensive, oral hypoglycemic)","Treatment of associated co-morbidities will be given to both arms (group) such as anti-hypertensive (B blockers, ACIE, ARBS, CA channel blockers, Diuretics), oral hypoglycemic (Metformins, sulfonyl urea,.......)","Asymptomatic Diastolic dysfunction, Symptomatic heart failure",
NCT05002075,Other,m-health cardiac rehabilitation,"Participants randomized to m-Health cardiac rehabilitation will receive a 24-week home-based exercise program delivered via a previously validated, commercially available smartphone platform called Movn (Moving Analytics, California). This app includes a patient-facing iOS and Android compatible smartphone app and an integrated hospital-facing online dashboard for remote monitoring and care coordination by a trained coach",m-health cardiac rehabilitation intervention arm,
NCT05592275,Drug,LY3540378,Administered SC,"LY3540378 Dose 1, LY3540378 Dose 2, LY3540378 Dose 3",
NCT05592275,Drug,Placebo,Administered SC,Placebo,
NCT03837470,Drug,0.9% Sodium Chloride,Intravenous infusion of 0.25ml/kg/min of 0.9% sodium chloride intravenously for a total of 60 minutes,Saline Loading and Diuretic Challenge,normal saline
NCT03837470,Drug,Furosemide 40 mg,Bolus intravenous injection of 40 mg furosemide,Saline Loading and Diuretic Challenge,
NCT02840799,Drug,Potassium Nitrate (KNO3),The effect of potassium nitrate (KNO3) supplementation on exercise capacity and peak oxygen consumption in HFpEF will be assessed.,Potassium Nitrate (KNO3),
NCT02840799,Drug,Potassium Chloride (KCl),Potassium Chloride (KCl) is the matching placebo control drug in this trial.,Potassium Chloride (KCl),
NCT05279742,Drug,MANP,Single subcutaneous injection 5 μg/Kg,"HFpEF-CKD with MANP and oral placebo, HFpEF-EI with MANP and oral placebo",
NCT05279742,Drug,Sacubitril/Valsartan,Oral single dose 97/103 mg,"HFpEF-CKD with Sacbitril/Valsartan with an injected placebo, HFpEF-EI with Sacbitril/Valsartan with an injected placebo",Entresto
NCT05279742,Drug,Oral Placebo,Oral single dose that contains no active ingredient,"HFpEF-CKD with MANP and oral placebo, HFpEF-CKD with an oral and injected placebo, HFpEF-EI with MANP and oral placebo, HFpEF-EI with an oral and injected placebo",
NCT05279742,Drug,Injection Placebo,Single subcutaneous injection that contains no active ingredient,"HFpEF-CKD with Sacbitril/Valsartan with an injected placebo, HFpEF-CKD with an oral and injected placebo, HFpEF-EI with Sacbitril/Valsartan with an injected placebo, HFpEF-EI with an oral and injected placebo",
NCT06820099,Drug,HRS-7535 tablet,HRS-7535 tablet.,Treatment group A,
NCT06820099,Drug,HRS-7535 tablet placebo,HRS-7535 tablet placebo.,Treatment group B,
NCT02876042,Device,BAROSTIM NEOTM System,Implantation of the BAROSTIM NEOTM System,,
NCT05795400,Drug,Dapagliflozin 10mg Tab,"10 mg tablets given once daily, per oral use",Dapagliflozine group,
NCT05795400,Drug,Placebo,tablet of placebo drug dosed once daily,Control group,
NCT06061549,Biological,AAV1/SERCA2a,3E13 viral genomes fixed dose,SRD-001 Gene Therapy,
NCT04822649,Diagnostic Test,Adenosine stress echocardiography with the evaluation of coronary artery blood flow,"The color Doppler flow of distal left anterior descending artery will be examined from the modified apical four-chamber view in the anterior interventricular groove.

In regard to body composition analysis, Using InBody S10, impedance is measured in 6 frequency bands (1 kilohertz (kHz), 5 kHz, 50 kHz, 250 kHz, 500 kHz, 1000 kHz) for each of 5 parts (right plate, left arm, torso, right leg, left leg). Reactance is measured in 3 frequency bands (5 kHz, 50 kHz, 250 kHz for each of 5 parts (right arm, left arm, torso, right leg, left leg).

By treadmill exercise test with modified Bruce protocol or bicycle ergometer for patients with orthopedic problems, maximal oxygen consumption (VO2 max) will be measured using the exhalation gas analysis.",Heart failure with preserved ejection fraction,"Body composition analysis, Cardiopulmonary exercise test"
NCT03327649,Device,low level transcutaneous vagus nerve stimulation,Stimulation of the auricular branch of the vagus nerve,"Active treatment, Sham control",
NCT05638230,Diagnostic Test,Left atrial reservoir strain,"LA strain measurements can be obtained by two dimensional (2D) speckle tracking echocardiography (STE). Longitudinal strain and strain rate curves are generated for each of six atrial segments, obtained from the apical four and two chamber views.

In the reservoir phase, as the LA fills and stretches, there is positive atrial strain that reaches its peak in systole at the end of LA filling, prior to opening of the mitral valve. Following this, passive LA emptying ensues with opening of the mitral valve resulting in decreased atrial strain with negative deflection of the strain curve up to a plateau period which is analogous to diastasis. LA reservoir strain (LARS), or peak atrial longitudinal strain or LA systolic strain, is measured at the end of the reservoir phase.","HIgh HFA-PEFF points (≥5), Low to intermediate HFA-PEFF points (<5)",
NCT03160625,Device,Rate Adaptive Pacing,Rate Adaptive Pacing varies the pacing rate in response to the patient's physical motion as detected by an activity sensor.,"Rate Adaptive Pacing OFF, Rate Adaptive Pacing ON",
NCT05585125,Drug,Beta blocker,"The intervention is a two-arm crossover withdrawal/reversal design (On \[A\] vs Off \[B\]) with up to 6 periods, each period lasting up to 6 weeks. During the On period (A), participants will be on their home beta-blocker (or highest tolerable) dose. During the Off period (B), their beta blockers will be down-titrated and subsequently discontinued (or the lowest tolerable dose).

Participants will be randomized into either ABAB or BABA sequences.

Other names:

acebutolol, atenolol, betaxolol, bisoprolol, carvedilol, labetalol, metoprolol, metoprolol succinate, metoprolol tartrate, nadolol, nebivolol, propranolol, penbutolol, pindolol, propranolol, sotalol",Beta-Blocker ABAB Sequence,ABAB
NCT05585125,Drug,Beta blocker,"The intervention is a two-arm crossover withdrawal/reversal design (On \[A\] vs Off \[B\]) with up to 6 periods, each period lasting up to 6 weeks. During the On period (A), participants will be on their home beta-blocker (or highest tolerable) dose. During the Off period (B), their beta blockers will be down-titrated and subsequently discontinued (or the lowest tolerable dose).

Participants will be randomized into either ABAB or BABA sequences.

Other names:

acebutolol, atenolol, betaxolol, bisoprolol, carvedilol, labetalol, metoprolol, metoprolol succinate, metoprolol tartrate, nadolol, nebivolol, propranolol, penbutolol, pindolol, propranolol, sotalol",Beta-Blocker BABA Sequence,BABA
NCT07052539,Other,High protein and sodium meal,Meal with 1g/kg protein content and 3900mg sodium,"HFpEF and Obese Participants, Healthy Participants, Obese Participants without HFpEF",
NCT04317339,Drug,Zhigancao Tang granule,"Zhigancao Tang: Dissolve Zhigancao Tang granule in 200ml hot water, twice a day,12 weeks, oral.

Standard heart failure treatment,including ACEI/ARB/ARNI, aldosterone antagonists, beta blockers, nitrate esters and diuretics as needed.",Zhigancao Tang granule group,"Zhigancao Tang group, Zhigancao Tang granule group"
NCT04317339,Drug,Zhigancao Tang placebo granule,"Zhigancao Tang placebo: Dissolve Zhigancao Tang placebo granule in 200ml hot water, twice a day,12 weeks, oral.

Standard heart failure treatment,including ACEI/ARB/ARNI, aldosterone antagonists, beta blockers, nitrate esters and diuretics as needed.",Zhigancao Tang placebo group,"Zhigancao Tang placebo group, Zhigancao Tang placebo granule group"
NCT06215586,Drug,Tovinontrine (CRD-750,Tablets administered orally,Tovinontrine (CRD-750),
NCT06215586,Drug,Placebo,Tablets administered orally,Placebo,
NCT04327024,Drug,Verinurad,"The treatment will be titrated in 3 steps for target low dose (3 mg), intermediate dose (7.5 mg) and high dose (12mg) of verinurad.

Drug: Allopurinol The treatment will be titrated in 3 steps. Low dose (100mg), intermediate (200mg) and high dose (300mg) of allopurinol.",Verinurad 12 + allopurinol,"verinurad titration 3 - 7.5 - 12mg, allopurinol titration 100 - 200 - 300 mg"
NCT04327024,Drug,Allopurinol,"Study treatments will be titrated in 3 steps: Low dose (100mg), intermediate (200mg) and high dose (300mg) of allopurinol","Allopurinol alone, Verinurad 12 + allopurinol",allopurinol titration 100 - 200 - 300 mg
NCT04327024,Drug,Placebo for verinurad,Matching Capsule,Placebo,Placebo
NCT04327024,Drug,Placebo for allopurinol,Matching tablet,Placebo,Placebo
NCT04745013,Behavioral,PRIORITY,PeRsonalIzed remOtely guided preventive exeRcIse therapy for a healThY heart,PRIORITY,
NCT04745013,Behavioral,Usual care,Only a written personalized exercise prescription will be provided.,Usual care,
NCT02885636,Drug,Albuterol,": Experimental: Inhaled albuterol

2.5 mg inhaled albuterol through a high efficiency nebulizer as a single dose",Inhaled albuterol,"Proventil, AccuNeb, Proair, Ventolin, and Vospire"
NCT02885636,Other,Saline placebo,Saline inhaled through a nebulizer as a single dose,Inhaled saline placebo,
NCT01354613,Drug,Dobutamine,IV administration at the initial study visit (all groups) and at the final study visit for the drug intervention arm (HFpEF group only). Administration of low-dose dobutamine at 5mcg/kg/min and 10mcg/kg/min for periods of approximately 30minutes/dose for purposes of performing a low-dose stress exam on the heart.,"HFpEF, HFpEF placebo, LVH/HTN, Pulmonary Disease",
NCT01354613,Drug,Amlodipine,"Participants will be randomized to treatment with either amlodipine 5 mg daily or placebo, in double-blind fashion, 25 patients in each group. 12 week oral administration of 5mg/day, uptitrated to 10mg/day, determined by PI.",HFpEF,
NCT06081049,Drug,Colchicine,0.5 mg once daily,Colchicine,
NCT06081049,Drug,Placebo,Once daily,Placebo,
NCT04153136,Drug,Sacubitril-Valsartan 49-51Mg Oral Tablet,By mouth twice daily,Sacubitril/Valsartan,Entresto
NCT04153136,Drug,Placebo oral tablet,Placebo oral tablet By mouth twice daily,Placebo,
NCT04111536,Drug,liothyronine,"Each treatment period of liothyronine was approximately 8 weeks in duration, with weekly titration of study drug for four weeks, followed by a maintenance dose for 4 weeks, then 2-week washout before crossing over to receive the alternate therapy - placebo.","Liothyronine (LT3), then placebo, Placebo, then Liothyronine",LT3
NCT04111536,Other,Placebo,"Each treatment period of placebo was approximately 8 weeks in duration, with weekly titration of study drug for four weeks, followed by a maintenance dose for 4 weeks, then 2-week washout before crossing over to receive the alternate therapy - LT3.","Liothyronine (LT3), then placebo, Placebo, then Liothyronine",
NCT01726049,Drug,Sildenafil,"Sildenafil administered orally 3 times per day 20 mg for the first 2 weeks, followed by 3 times 60 mg for 10 weeks",Sildenafil,
NCT01726049,Drug,Placebo,"Placebo tablets 3 times per day 20 mg foor de first 2 weeks, followed by 3 times 60 mg for 10 weeks",Placebo,
NCT02916225,Behavioral,High Intensity Interval Training,"The HIIT group will warm up for 10 minutes at 60% to 70% of peak heart rate(50% to 60% of V̇O2peak) before walking four 4-minute intervals at 85% to 95% of peak heart rate. Each interval will be separated by 3-minute active pauses, walking at 60% to 70% of peak heart rate. The training session will be terminated by a 3-minute cool-down at 60% to 70% of peak heart rate. Total exercise time will be 38 minutes for the HIIT group. Patients will perform 3 training sessions per week for 12 consecutive weeks.",High intensity interval training,
NCT02916225,Behavioral,Moderate Continuous Training,The moderate continuous training (MCT) group will undergo treadmill walking continuously at 60% to 70% of peak heart rate for 47 minutes each session to make sure the training protocols will be isocaloric. Patients will perform 3 training sessions per week for 12 consecutive weeks.,Moderate Continuous Training,
NCT06994325,Behavioral,Conversations Helpful for Awareness of Illness Trajectory (CHAT) Intervention,"The Conversations Helpful for Awareness of illness Trajectory (CHAT) intervention will incorporate 4 health-coach sessions, supplemented by 7 educational videos. Each session will be up to 60 minutes long and will be conducted remotely. During the health coach sessions, a trained health coach will work with subjects, reviewing the content of each video and emphasizing key learning content.",CHAT Intervention Group,
NCT06994325,Behavioral,Standard of Care (SOC),The Standard of Care Group will not have access to the Health Coach or video-based educational content. This group will have no study activities during Weeks 1-7 but will participate in follow-up assessments.,Standard of Care Group,
NCT02744339,Drug,Riociguat,Adempas up-titrated to max. 1.5mg TID,Riociguat,Adempas
NCT02744339,Drug,Placebo,Placebo sham-titrated TID,Placebo,
NCT05672836,Drug,Enavogliflozin,0.3 mg 1 tablet once daily,Enavogliflozin Group,
NCT05672836,Drug,Standard-of-Care,Standard-of-Care medical therapy plus Enavogliflozin matching placebo,placebo as add-on to standard of care treatment group,Standard-of-Care medical therapy
NCT05236413,Behavioral,High Intensity Interval Exercise,"Patients will be required to report for three sessions of supervised stationary cycling exercise per week over a period of 4-weeks. Training heart rates will be determined based on the pre-testing VO2peak and peak heart rate (PHR). All sessions will be supervised by trained personnel.

Patients will start with eight intervals of 2-min duration at 80-85% of PHR, separated by 2 min of recovery at 50% of PHR, progressing to four, 4-min intervals at 90-95% PHR, separated by 3 min at 50% PHR by the end of week 2.

Each training session will begin with a 10-min warm-up at 50% of PHR and end with a 5-min cool down at 50% PHR. Subjects will be weighed prior to every exercise session and weight tracked to ensure that their volume status hasn't changed significantly. Subjects will be instructed to maintain usual levels of physical activity and usual diet during the study and not to make any modifications to the same.",High Intensity Interval Exercise,
NCT05236413,Behavioral,Dietary Approaches to Stop Hypertension (DASH) Diet,"Patients will be interviewed with regard to their food/religious preferences and food allergies and a 7-day rotating meal plan will be designed per their preferences along with a registered dietitian. This will ensure that patients receive food that is acceptable to them. Participants will then be provided pre-packaged meals for 4-weeks with macronutrient compositions as follows - (Carbohydrates -55-60%, Protein -15-20%, Fat -15-25%, Fiber -35-45g/day). All foods will be labeled, sealed, and packed for weekly delivery and will be designed such that they can be refrigerated or frozen and stored without significant alterations to nutritional content. All food will be prepared by the UVA Hospital Nutrition Services department in conjunction with a registered dietician. Deviations (if any) from the study meal plan will be recorded by the participants in a food record provided at the start of each diet intervention period.",Dietary Approaches to Stop Hypertension (DASH) Diet,
NCT05236413,Behavioral,Exercise + DASH Diet,Patients will undergo both the exercise training intervention and DASH diet as explained above.,Exercise + DASH Diet,
NCT02147613,Other,High intensity interval training,3 days per week at 85-90% peak heart rate (4x4 bouts) for 1 month (12 sessions of exercise),High intensity interval training,
NCT02147613,Other,Moderate intensity exercise training,"3 days/week, 30 mins at 70% Peak heart rate for 1 month (12 sessions of exercise)",Moderate intensity exercise training,
NCT03794518,Drug,Pioglitazone Plus dapaglifliozin,Pioglitazone Plus dapaglifliozin,Pioglitazone Plus dapaglifliozin,
NCT03794518,Drug,Placebo,"(Beta blockers, ACEI, ARB, and aldosterone )",Placebo,
NCT02173548,Drug,Anakinra,,Anakinra,Kineret
NCT02173548,Drug,Placebo,,Placebo,
NCT06312748,Drug,L-Citrulline,100 mg tablet,"L-Citrulline, Then Placebo, Placebo, Then L-Citrulline",
NCT06312748,Drug,Placebo for L-Citrulline,L-Citrulline-matched Placebo tablet,"L-Citrulline, Then Placebo, Placebo, Then L-Citrulline",
NCT06312748,Drug,BH4,10mg/kg,"BH4, Then Placebo, Placebo, Then BH4","Kuvan®, sapropterin dihydrochloride"
NCT06312748,Drug,Placebo for BH4,BH4-matched Placebo,"BH4, Then Placebo, Placebo, Then BH4",
NCT06312748,Drug,Atorvastatin,10 mg tablet,"Atorvastatin, Then Placebo, Placebo, Then Atorvastatin",Lipitor®
NCT06312748,Drug,Placebo for Atorvastatin,Atorvastatin-matched Placebo,"Atorvastatin, Then Placebo, Placebo, Then Atorvastatin",
NCT00207220,Procedure,arterial tonometry,used to determine peripheral arterial vascular tone by measuring blood pressure waveforms via a probe attached to the finger.,3,PAT
NCT00207220,Procedure,echocardiography,ultrasound test using sound waves to create a moving picture of the heart,3,cardiac echo
NCT05205265,Device,Rivet Shunt,"The Rivet Shunt device will be implanted via a percutaneous, transcatheter approach",Rivet Shunt Therapy,
NCT04189029,Other,Extensive phenotyping,"Prospective assessment of physical evaluation, biomarkers and omics, cardiac and vascular imaging and telemonitoring of cardiovascular parameters for 14 days.","HFpEF patients, HFrEF patients, Subjects apparently without heart failure",
NCT06442280,Drug,Dapagliflozin tablet,Dapagliflozin 10 mg 1 tablet once daily,"Dapa-Furo, Dapa-Tonic",SGLT2 inhibitor
NCT06442280,Drug,"Hypertonic Saline Solution, 1 Ml",Intravenous infusion of furosemide combined with hypertonic saline solutions (100 mL) twice daily,"Dapa-Tonic, Tonic-Placebo","Hypertonic Solution, Saline"
NCT06442280,Drug,Furosemide Injection,Furosemide 20 mg,"Dapa-Furo, Furosemide-Placebo",FUROSEMIDE
NCT05752760,Other,Lactobacillus Plantarum 299v Freeze Dried Capsule,The intervention is a probiotic lactobacillus that is contained in food products in the US,Lp299v,
NCT05752760,Other,Freeze Dried Potato Starch Capsule,The intervention is potato starch that is freeze dried designed to mimic the lp299v capsule.,Placebo Control,
NCT06991257,Drug,Placebo,ARM 1,ARM 1,
NCT06991257,Drug,Low Dose PF-07328948,ARM 2,ARM 2,low dose
NCT06991257,Drug,Medium Dose PF-07328948,ARM 3,ARM 3,medium dose
NCT06991257,Drug,High Dose PF-07328948,ARM 4,ARM 4,High dose
NCT06956560,Radiation,PET/MRI or separate PET/CT and MRI,"PET/MRI or separate PET/CT and MRI using the following imaging protocol: 15O-H20 (myocardial perfusion, up to 10 min dynamic PET scan), \[68Ga\]Ga-DOTA-Cys-ATH001 (PDGFRß PET, up to 60 min dynamic + static full body PET scans), and Gd-MRI (extracellular volume in infarct, around 10 min MRI scan).

Cohort 1 and 2 are examined twice, first one week after PCI/stent and then a second examination 2 to 8 months after the first. Cohorts 3, and 4 are examined once.","Healthy control individuals, Individuals diagnosed with HFpEF and with signs/symptoms of heart failure, Individuals with high risk of heart failure after STEMI, Individuals with low risk of heart failure after STEMI",
NCT04945460,Drug,Sotatercept 0.3 mg/kg,Administered by subcutaneous injection. Sotatercept (ACE-011) is a recombinant fusion protein consisting of the extracellular domain of the human activin receptor type IIA linked to the Fc piece of human IgG1.,Sotatercept 0.3 mg/kg,ACE-011
NCT04945460,Drug,Placebo,Administered by subcutaneous injection,Placebo,
NCT04945460,Drug,Sotatercept 0.3 mg/kg escalating to 0.7 mg/kg,Administered by subcutaneous injection. Sotatercept (ACE-011) is a recombinant fusion protein consisting of the extracellular domain of the human activin receptor type IIA linked to the Fc piece of human IgG1.,"Sotatercept 0.3 mg/kg, escalating to 0.7 mg.kg",ACE-011
NCT06282822,Other,Transthoracic echocardiography,All enrolled patients underwent noninvasive transthoracic echocardiography.,,
NCT04327596,Procedure,RF ablation of AF using CARTO 3 and a Thermocool ST SF ablation catheter,"Ablation of AF is standard of care in the management of patients with paroxysmal or persistent AF. The most common triggers initiating AF arise from pulmonary veins (PV) and successful electrical isolation of PV's can significantly reduce the burden of AF. Therefore, the main objective in patients undergoing ablation of AF is to achieve PV isolation.",AF Ablation,
NCT02636439,Behavioral,"dietary, aerobic and resistance training",hypocaloric diet individual exercise prescription for aerobic training individual exercise prescription for resistance training.,"dietary, aerobic and resistance training",
NCT02636439,Behavioral,"dietary, and aerobic exercise",hypocaloric diet individual prescription for aerobic training.,"dietary, aerobic and resistance training, dietary, and aerobic exercise",
NCT06775886,Other,myPACE+ algorithm,myPACE+ algorithm with mono-fractional exponent,myPACE+,
NCT01411735,Drug,Enalapril,2.5mg titrated up to 10mg twice daily,Enalapril,
NCT01411735,Drug,placebo,2.5mg titrated up to 10mg twice daily.,placebo,
NCT04173117,Dietary Supplement,Low energy meal replacement plan (12 weeks),Low energy meal replacement plan (12 weeks),Intervention,
NCT01440517,Drug,Tc99m-Maraciclatide,Freeze-dried powder Kit for the preparation of Maraciclatide (99mTc) Injection,Tc99m-Maraciclatide,Maraciclatide (99mTc) Injection
NCT06814145,Biological,Sotatercept,subcutaneous injection,"Sotatercept 0.3 mg/kg, Sotatercept 0.7 mg/kg",ACE-011
NCT03804645,Drug,Treatment A,"Each subject will receive single dose of AZD9977 capsule under fasting condition in Part A. If the formulation chosen for Part B, each subject will receive one dose under fed condition and another dose under fasted condition.","Cohort 1, Cohort 2, Cohort 3, Cohort 4, Cohort 5","AZD9977 capsule, reference"
NCT03804645,Drug,Treatment B,"Each subject will receive single dose of AZD9977 HDL capsule under fasting condition in Part A. If the formulation chosen for Part B, each subject will receive one dose under fed condition and another dose under fasted condition.","Cohort 1, Cohort 2, Cohort 3, Cohort 4, Cohort 5",AZD9977 HDL capsule
NCT03804645,Drug,Treatment C,"Each subject will receive single dose of AZD9977 ODL capsule under fasting condition in Part A. If the formulation chosen for Part B, each subject will receive one dose under fed condition and other dose under fasted condition.","Cohort 1, Cohort 2, Cohort 3, Cohort 4, Cohort 5",AZD9977 ODL capsule
NCT03804645,Drug,Treatment D,"Each subject will receive single dose of AZD9977 tablet under fasting condition in Part A. If the formulation chosen for Part B, each subject will receive one dose under fed condition and another dose under fasted condition.","Cohort 1, Cohort 2, Cohort 3, Cohort 4, Cohort 5",AZD9977 tablet
NCT06369298,Drug,JK07,JK07 is a fully human anti-human epidermal growth factor receptor 3 (also known as ErbB3 or HER3) antibody fused with the epidermal growth factor (EGF)-domain of Neuregulin (NRG)-1b protein.,"JK07 high dose, JK07 low dose",
NCT06369298,Drug,Placebo,0.9% sodium chloride,Placebo,
NCT04318145,Drug,PL-3994 Aqueous Intravenous Solution Dose Ascention,"Following appropriate dilution, PL-3994 will be injected intravenously by site personnel as a bolus dose followed by continuous infusion",Part A: PL-3994 Dose Ascension,PL-3994
NCT04318145,Drug,PL-3994 Aqueous Intravenous Solution Single Dose,"Following appropriate dilution, PL-3994 will be injected intravenously by site personnel as a bolus dose followed by continuous infusion",Part B: PL-3994 Single Dose,PL-3994
